equator	plate	pixel	age	stage-pixel
180	0	138	0	138
180	0	138	4500000000	138
180	0	139	0	139
180	0	139	4500000000	139
180	0	140	0	140
180	0	140	4500000000	140
180	0	141	0	141
180	0	141	4500000000	141
180	0	142	0	142
180	0	142	4500000000	142
180	0	143	0	143
180	0	143	4500000000	143
180	0	144	0	144
180	0	144	4500000000	144
180	0	145	0	145
180	0	145	4500000000	145
180	0	146	0	146
180	0	146	4500000000	146
180	0	147	0	147
180	0	147	4500000000	147
180	0	148	0	148
180	0	148	4500000000	148
180	0	149	0	149
180	0	149	4500000000	149
180	0	150	0	150
180	0	150	4500000000	150
180	0	151	0	151
180	0	151	4500000000	151
180	0	152	0	152
180	0	152	4500000000	152
180	0	153	0	153
180	0	153	4500000000	153
180	0	154	0	154
180	0	154	4500000000	154
180	0	155	0	155
180	0	155	4500000000	155
180	0	156	0	156
180	0	156	4500000000	156
180	0	157	0	157
180	0	157	4500000000	157
180	0	158	0	158
180	0	158	4500000000	158
180	0	159	0	159
180	0	159	4500000000	159
180	0	160	0	160
180	0	160	4500000000	160
180	0	161	0	161
180	0	161	4500000000	161
180	0	162	0	162
180	0	162	4500000000	162
180	0	163	0	163
180	0	163	4500000000	163
180	0	164	0	164
180	0	164	4500000000	164
180	0	165	0	165
180	0	165	4500000000	165
180	0	166	0	166
180	0	166	4500000000	166
180	0	167	0	167
180	0	167	4500000000	167
180	0	168	0	168
180	0	168	4500000000	168
180	0	169	0	169
180	0	169	4500000000	169
180	0	170	0	170
180	0	170	4500000000	170
180	0	171	0	171
180	0	171	4500000000	171
180	0	172	0	172
180	0	172	4500000000	172
180	0	173	0	173
180	0	173	4500000000	173
180	0	174	0	174
180	0	174	4500000000	174
180	0	175	0	175
180	0	175	4500000000	175
180	0	176	0	176
180	0	176	4500000000	176
180	0	177	0	177
180	0	177	4500000000	177
180	0	178	0	178
180	0	178	4500000000	178
180	0	179	0	179
180	0	179	4500000000	179
180	0	180	0	180
180	0	180	4500000000	180
180	0	181	0	181
180	0	181	4500000000	181
180	0	182	0	182
180	0	182	4500000000	182
180	0	183	0	183
180	0	183	4500000000	183
180	0	184	0	184
180	0	184	4500000000	184
180	0	185	0	185
180	0	185	4500000000	185
180	0	186	0	186
180	0	186	4500000000	186
180	0	187	0	187
180	0	187	4500000000	187
180	0	188	0	188
180	0	188	4500000000	188
180	0	189	0	189
180	0	189	4500000000	189
180	0	190	0	190
180	0	190	4500000000	190
180	0	191	0	191
180	0	191	4500000000	191
180	0	192	0	192
180	0	192	4500000000	192
180	0	193	0	193
180	0	193	4500000000	193
180	0	194	0	194
180	0	194	4500000000	194
180	0	195	0	195
180	0	195	4500000000	195
180	0	196	0	196
180	0	196	4500000000	196
180	0	197	0	197
180	0	197	4500000000	197
180	0	198	0	198
180	0	198	4500000000	198
180	0	199	0	199
180	0	199	4500000000	199
180	0	200	0	200
180	0	200	4500000000	200
180	0	201	0	201
180	0	201	4500000000	201
180	0	202	0	202
180	0	202	4500000000	202
180	0	203	0	203
180	0	203	4500000000	203
180	0	204	0	204
180	0	204	4500000000	204
180	0	205	0	205
180	0	205	4500000000	205
180	0	206	0	206
180	0	206	4500000000	206
180	0	207	0	207
180	0	207	4500000000	207
180	0	208	0	208
180	0	208	4500000000	208
180	0	209	0	209
180	0	209	4500000000	209
180	0	210	0	210
180	0	210	4500000000	210
180	0	211	0	211
180	0	211	4500000000	211
180	0	212	0	212
180	0	212	4500000000	212
180	0	213	0	213
180	0	213	4500000000	213
180	0	214	0	214
180	0	214	4500000000	214
